Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 44.41      2.62     2.62  9849463     0.00     0.00  Socket::Select()
  5.94      2.97     0.35 10851126     0.00     0.00  Socket::ProcessInput()
  5.52      3.29     0.33 12489926     0.00     0.00  Socket::ProcessExcept()
  4.93      3.58     0.29 132189003     0.00     0.00  Buff::Get_My_Lock()
  4.25      3.83     0.25    12963     0.00     0.00  Buff_Manager::Write_Empty_Buff(char*, int)
  4.25      4.08     0.25 28959199     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_M_get() const
  3.06      4.26     0.18  9780228     0.00     0.00  Socket::ProcessOutput()
  3.06      4.44     0.18 65627418     0.00     0.00  Buff::Get_Sending(bool&)
  2.97      4.62     0.18 67213042     0.00     0.00  MyLock::Lock()
  2.63      4.77     0.16 19290361     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_M_at_eof() const
  2.38      4.91     0.14 66071484     0.00     0.00  Buff::Get_Len()
  2.21      5.04     0.13     2779     0.00     0.00  Buff_Manager::Copy_Send_Buff(Buff*)
  1.87      5.15     0.11 67160199     0.00     0.00  MyLock::Unlock()
  1.70      5.25     0.10 48077409     0.00     0.00  std::char_traits<char>::eq_int_type(int const&, int const&)
  1.36      5.33     0.08  9364449     0.00     0.00  Socket::WaitPacket()
  1.27      5.41     0.08  9867870     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Socket*> >::operator->() const
  1.19      5.48     0.07    16074     0.00     0.00  Buff::Init_Char(char*, int)
  1.02      5.54     0.06  9616899     0.00     0.00  bool std::operator!=<char, std::char_traits<char> >(std::istreambuf_iterator<char, std::char_traits<char> > const&, std::istreambuf_iterator<char, std::char_traits<char> > const&)
  1.02      5.60     0.06  9277229     0.00     0.00  std::_Rb_tree_node<std::pair<int const, Socket*> >::_M_valptr()
  0.85      5.65     0.05  9618541     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Socket*> >::_M_addr()
  0.68      5.69     0.04  9608989     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::operator*() const
  0.68      5.73     0.04  9589546     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::operator++()
  0.51      5.76     0.03  9578622     0.00     0.00  std::char_traits<char>::to_char_type(int const&)
  0.51      5.79     0.03  9194276     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Socket*> >::_M_ptr()
  0.34      5.81     0.02  9582584     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::equal(std::istreambuf_iterator<char, std::char_traits<char> > const&) const
  0.25      5.82     0.02        1     0.02     0.02  _GLOBAL__sub_I__ZN12Buff_ManagerC2Ev
  0.17      5.83     0.01    12455     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<std::istreambuf_iterator<char, std::char_traits<char> > >(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::input_iterator_tag)
  0.17      5.84     0.01        8     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Socket*> >::_M_ptr() const
  0.17      5.85     0.01        3     0.00     0.00  Socket::Set_Buff_Manager(Buff_Manager*)
  0.17      5.86     0.01        1     0.01     0.01  Buff_Manager::Buff_Manager()
  0.17      5.87     0.01                             WaitPacket(void*)
  0.17      5.88     0.01                             Buff::Set_Len(int)
  0.08      5.89     0.01        6     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Socket*> >::_M_addr() const
  0.08      5.89     0.01        2     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Socket*> >::operator!=(std::_Rb_tree_iterator<std::pair<int const, Socket*> > const&) const
  0.00      5.89     0.00  9583880     0.00     0.00  std::char_traits<char>::eof()
  0.00      5.89     0.00   353627     0.00     0.00  Buff::Clean()
  0.00      5.89     0.00   353037     0.00     0.00  Buff::Buff()
  0.00      5.89     0.00   352999     0.00     0.00  MyLock::MyLock()
  0.00      5.89     0.00    25160     0.00     0.00  std::iterator<std::input_iterator_tag, char, long, char*, char>::iterator()
  0.00      5.89     0.00    12856     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::istreambuf_iterator()
  0.00      5.89     0.00    12704     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<std::istreambuf_iterator<char, std::char_traits<char> > >(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >)
  0.00      5.89     0.00    12598     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<std::istreambuf_iterator<char, std::char_traits<char> > >(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::__false_type)
  0.00      5.89     0.00    12468     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::istreambuf_iterator(std::istream&)
  0.00      5.89     0.00    12399     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::istreambuf_iterator<char, std::char_traits<char> >, void>(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::allocator<char> const&)
  0.00      5.89     0.00     5826     0.00     0.00  Buff::Get_Buff()
  0.00      5.89     0.00     3485     0.00     0.00  Buff::~Buff()
  0.00      5.89     0.00     3171     0.00     0.00  Buff_Manager::Set_Send_Index(int)
  0.00      5.89     0.00     2968     0.00     0.00  MyLock::~MyLock()
  0.00      5.89     0.00     2549     0.00     0.00  Socket::Send()
  0.00      5.89     0.00      687     0.00     0.00  Socket::Recv()
  0.00      5.89     0.00       34     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_ptr() const
  0.00      5.89     0.00       34     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_addr() const
  0.00      5.89     0.00       34     0.00     0.00  std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator()(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&) const
  0.00      5.89     0.00       34     0.00     0.00  std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_valptr() const
  0.00      5.89     0.00       32     0.00     0.00  std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator()(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00      5.89     0.00       32     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      5.89     0.00       30     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      5.89     0.00       26     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_S_key(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const*)
